LookupTime,FSSTime,MultiplicationTime,RotationTime,AdditionTime,o
9.709042ms,114.792µs,440.209µs,7.127208ms,100.96µs,[1]
8.410292ms,115.583µs,428.458µs,7.051123ms,101.875µs,[1]
8.512916ms,114.291µs,441.708µs,7.072206ms,108.501µs,[1]
8.481542ms,114.833µs,435.541µs,7.1355ms,108.624µs,[1]
8.429084ms,115.417µs,438.375µs,7.080251ms,102.211µs,[1]
8.359458ms,114.709µs,432.084µs,7.022666ms,104.084µs,[1]
8.349625ms,115.792µs,427.792µs,7.021751ms,101.877µs,[1]
9.081167ms,114.959µs,430.291µs,7.028499ms,103.666µs,[1]
8.380125ms,114.042µs,428.916µs,7.040292ms,107.958µs,[1]
8.513ms,115.333µs,427.083µs,7.08925ms,102.835µs,[1]
8.454542ms,114.167µs,429.333µs,7.09996ms,101.293µs,[1]
8.420209ms,114.292µs,440.042µs,7.066707ms,108.667µs,[1]
8.51875ms,114.834µs,427.375µs,7.187334ms,103.374µs,[1]
8.525334ms,114.541µs,439.208µs,7.14471ms,103.667µs,[1]
9.17775ms,115.166µs,425.959µs,7.049706ms,102.793µs,[1]
8.450292ms,122.208µs,441.25µs,7.068666ms,102.038µs,[1]
8.424791ms,114.75µs,432.042µs,7.087543ms,107.876µs,[1]
8.474875ms,115.333µs,435.584µs,7.108833ms,103.583µs,[1]
8.432916ms,114.25µs,436.292µs,7.053249ms,102.333µs,[1]
8.442459ms,116.083µs,437.084µs,7.054956ms,102.375µs,[1]
8.428208ms,114.334µs,441.083µs,7.061165ms,102.541µs,[1]
9.225458ms,115.125µs,434.333µs,7.179877ms,101.916µs,[1]
8.513958ms,117.916µs,441.667µs,7.109291ms,102.457µs,[1]
8.438333ms,114.459µs,430µs,7.090164ms,101.251µs,[1]
8.395459ms,116.375µs,432.542µs,7.041541ms,101.208µs,[1]
8.391208ms,115.167µs,431.417µs,7.036541ms,103.167µs,[1]
8.402583ms,114.791µs,427.875µs,7.06204ms,102.206µs,[1]
8.521209ms,123.083µs,428.792µs,7.098164ms,103.752µs,[1]
9.430208ms,114.625µs,428.416µs,8.053375ms,106.584µs,[1]
8.398583ms,114.584µs,440.5µs,7.040459ms,106.623µs,[1]
8.53ms,115.084µs,432.792µs,7.169251ms,102.666µs,[1]
8.5695ms,113.792µs,438.042µs,7.22071ms,101.333µs,[1]
8.524875ms,115.416µs,432.083µs,7.040793ms,101.919µs,[1]
8.438ms,114.5µs,425.375µs,7.052376ms,104.084µs,[1]
8.454042ms,114.667µs,440.584µs,7.115294ms,102.752µs,[1]
9.065125ms,115.084µs,433.708µs,7.709752ms,104.666µs,[1]
8.496542ms,114.083µs,434.167µs,7.111541ms,100.876µs,[1]
8.444875ms,115.792µs,424.708µs,7.025292ms,102.666µs,[1]
8.451667ms,114.208µs,448.375µs,7.066166ms,101.292µs,[1]
8.423417ms,114.125µs,434.125µs,7.0915ms,103.416µs,[1]
8.487084ms,114.542µs,427.875µs,7.122207ms,106.249µs,[1]
8.474541ms,114.041µs,429.458µs,7.117126ms,102.958µs,[1]
9.246292ms,115.375µs,426.292µs,7.869999ms,103.044µs,[1]
8.407083ms,114.291µs,432.75µs,7.035999ms,102.373µs,[1]
8.549083ms,115.959µs,433.958µs,7.187502ms,108.999µs,[1]
8.45825ms,114.625µs,430.875µs,7.082958ms,101.625µs,[1]
8.498792ms,114µs,428.375µs,7.112375ms,115.79µs,[1]
8.390958ms,114.584µs,431.667µs,7.043ms,106.998µs,[1]
8.499542ms,114.542µs,441.75µs,7.129291ms,101.208µs,[1]
9.128042ms,114.666µs,426.709µs,7.774292ms,106.373µs,[1]
8.434583ms,114.459µs,432.125µs,7.063249ms,102.584µs,[1]
8.530583ms,114.667µs,429.041µs,7.159292ms,103.041µs,[1]
8.44775ms,114.25µs,427.25µs,7.106833ms,108.418µs,[1]
8.508625ms,114.709µs,430.667µs,7.15525ms,102.501µs,[1]
8.489583ms,114.542µs,441.541µs,7.103834ms,100.876µs,[1]
8.387791ms,117.417µs,430.042µs,7.018459ms,103.04µs,[1]
8.426417ms,114.708µs,430.792µs,7.081625ms,102.917µs,[1]
8.468459ms,114.375µs,430.209µs,7.122875ms,102.001µs,[1]
8.590083ms,114.959µs,442.5µs,7.201124ms,102.875µs,[1]
8.47ms,113.958µs,444.666µs,7.089833ms,108.25µs,[1]
8.352917ms,114.417µs,427.417µs,7.02254ms,108.918µs,[1]
8.536709ms,114.541µs,448.875µs,7.150042ms,114.915µs,[1]
9.401208ms,114.5µs,431.625µs,7.216792ms,102.75µs,[1]
8.50425ms,115.125µs,427.833µs,7.119709ms,104.457µs,[1]
8.516ms,114.5µs,427.458µs,7.123371ms,103.5µs,[1]
8.365209ms,113.959µs,432.75µs,7.029957ms,101.624µs,[1]
8.503708ms,114.416µs,431.75µs,7.143417ms,102.544µs,[1]
8.533ms,114.375µs,437.333µs,7.16775ms,101.792µs,[1]
8.491334ms,116.958µs,430.333µs,7.029751ms,101.543µs,[1]
9.171125ms,114.667µs,439.542µs,7.818502ms,105.251µs,[1]
8.350417ms,114.292µs,426.75µs,7.025166ms,101.501µs,[1]
8.428834ms,114.75µs,429.916µs,7.067292ms,107.249µs,[1]
8.395667ms,113.959µs,428.625µs,7.043916ms,101.5µs,[1]
8.389417ms,115.417µs,425.291µs,7.031415ms,102.457µs,[1]
8.395208ms,114.958µs,427.958µs,7.042332ms,102.333µs,[1]
8.341333ms,113.875µs,433.042µs,7.013125ms,101.875µs,[1]
9.316292ms,115.167µs,434.792µs,7.942084ms,104.708µs,[1]
8.434708ms,114.209µs,427.834µs,7.073999ms,100.96µs,[1]
8.362ms,114.75µs,426.375µs,7.025334ms,101.958µs,[1]
8.386375ms,114.708µs,428.375µs,7.041834ms,102.875µs,[1]
8.568167ms,114.125µs,447.333µs,7.172165ms,107.209µs,[1]
8.457334ms,115.083µs,426.375µs,7.072ms,101.542µs,[1]
8.442ms,113.875µs,425.083µs,7.091625ms,101.209µs,[1]
9.070958ms,114.917µs,428.917µs,7.725167ms,106.457µs,[1]
8.474ms,114.375µs,430.667µs,7.138376ms,102.501µs,[1]
8.498583ms,113.916µs,436.5µs,7.137623ms,101.709µs,[1]
8.444833ms,117.708µs,425.416µs,7.030581ms,101.376µs,[1]
8.506667ms,114.583µs,435.083µs,7.099626ms,115.041µs,[1]
8.464292ms,114.209µs,426.959µs,7.13504ms,108.544µs,[1]
8.57525ms,114.958µs,426.625µs,7.192167ms,101.584µs,[1]
9.374ms,122.25µs,430.542µs,7.997584ms,101.461µs,[1]
8.441625ms,115.333µs,427.541µs,7.011749ms,108.71µs,[1]
8.501083ms,118.666µs,445.083µs,7.084458ms,109.959µs,[1]
8.5685ms,113.958µs,426.958µs,7.209041ms,106.916µs,[1]
8.4265ms,115.208µs,428.25µs,7.078959ms,103.544µs,[1]
8.473667ms,114.417µs,432.334µs,7.096999ms,102.083µs,[1]
8.403291ms,114.667µs,435.708µs,7.062ms,106.292µs,[1]
8.488625ms,114.833µs,448.541µs,7.113958ms,118.044µs,[1]
8.52075ms,114.208µs,438.583µs,7.176832ms,109.167µs,[1]
8.494542ms,115.667µs,427.625µs,7.071792ms,110.833µs,[1]
8.445583ms,113.875µs,429.333µs,7.08171ms,102.999µs,[1]
8.450542ms,114.542µs,451.875µs,7.088792ms,102.959µs,[1]
8.573416ms,115.25µs,429.584µs,7.203957ms,102.583µs,[1]
8.501958ms,114.375µs,427.292µs,7.123333ms,127.417µs,[1]
8.528791ms,115.042µs,428.791µs,7.0485ms,102.457µs,[1]
8.445458ms,116.541µs,437.333µs,7.073709ms,103.167µs,[1]
8.491375ms,114.042µs,440.833µs,7.142915ms,107.624µs,[1]
8.501458ms,114.375µs,430µs,7.139338ms,102.083µs,[1]
8.528667ms,114.625µs,445.584µs,7.151376ms,102.665µs,[1]
8.41525ms,115.167µs,440.416µs,7.027916ms,101.416µs,[1]
9.096208ms,114.791µs,437.541µs,7.123627ms,117.085µs,[1]
8.441917ms,114.125µs,438.542µs,7.108374ms,102.084µs,[1]
8.415291ms,114.292µs,427.833µs,7.075876ms,101.375µs,[1]
8.526584ms,114.083µs,429.084µs,7.175958ms,101.666µs,[1]
8.394583ms,115µs,423.709µs,7.038415ms,102.333µs,[1]
8.47475ms,116.209µs,428.292µs,7.102001ms,101.794µs,[1]
8.490292ms,114.458µs,437µs,7.12304ms,102.167µs,[1]
8.44675ms,115.083µs,427.5µs,7.064417ms,101.334µs,[1]
8.50625ms,114.125µs,430.292µs,7.115585ms,116.21µs,[1]
8.402ms,124.125µs,434.5µs,7.031126ms,108.291µs,[1]
8.546625ms,126.833µs,443.166µs,7.154166ms,104.041µs,[1]
8.540334ms,114.041µs,447.542µs,7.16125ms,106.419µs,[1]
8.472ms,114.292µs,426.083µs,7.074125ms,102.332µs,[0]
8.515875ms,114.75µs,427.791µs,7.14704ms,102.584µs,[1]
9.318584ms,115µs,441.166µs,7.093956ms,107.247µs,[1]
8.48175ms,114.166µs,433.041µs,7.140457ms,103.376µs,[1]
8.519917ms,114.417µs,433.208µs,7.151543ms,101.331µs,[1]
8.483709ms,116.792µs,429.333µs,7.049085ms,105.916µs,[1]
8.53875ms,114.042µs,431.25µs,7.156877ms,104.585µs,[1]
8.43225ms,114.292µs,436.875µs,7.094252ms,102.375µs,[1]
8.490209ms,114.709µs,427.75µs,7.126458ms,101.749µs,[1]
9.082ms,115.791µs,426.167µs,7.130917ms,109.459µs,[1]
8.461667ms,115.75µs,435.167µs,7.043543ms,102.958µs,[1]
8.534208ms,115.458µs,443.25µs,7.135958ms,102.498µs,[1]
8.534958ms,113.792µs,429.958µs,7.17125ms,102.792µs,[1]
8.494084ms,115.708µs,432.542µs,7.071332ms,102.457µs,[1]
8.477375ms,114.292µs,428.75µs,7.099751ms,102.833µs,[1]
8.391708ms,114.541µs,439.583µs,7.052833ms,110.29µs,[1]
9.261ms,115.666µs,444.334µs,7.176457ms,102.126µs,[1]
8.505625ms,114.209µs,430.208µs,7.128583ms,102.624µs,[1]
8.48075ms,115.333µs,429.875µs,7.06454ms,101.127µs,[1]
8.430875ms,114µs,441.458µs,7.067917ms,102.416µs,[1]
8.468583ms,114.292µs,442.083µs,7.114374ms,108.209µs,[1]
8.529083ms,114.583µs,430.042µs,7.174666ms,102.499µs,[1]
8.527709ms,114.375µs,438.25µs,7.135542ms,101.584µs,[1]
8.790209ms,182.375µs,427.667µs,7.04104ms,101.334µs,[1]
8.48925ms,114.625µs,443.791µs,7.119124ms,102.289µs,[1]
8.484667ms,114.5µs,434.375µs,7.127168ms,102.289µs,[1]
8.507333ms,115µs,431.541µs,7.125165ms,101.584µs,[1]
8.460292ms,114.458µs,428.5µs,7.124832ms,102.625µs,[1]
8.3785ms,119.583µs,425.75µs,7.011791ms,102.584µs,[1]
8.355125ms,116.833µs,434.958µs,7.015294ms,102.126µs,[1]
9.042708ms,114.833µs,425.625µs,7.712626ms,102.5µs,[1]
8.399792ms,114.875µs,426.833µs,7.053918ms,101.791µs,[1]
8.394292ms,114.209µs,426.458µs,7.060041ms,103.291µs,[1]
8.387375ms,113.875µs,425.375µs,7.059501ms,100.791µs,[1]
8.398958ms,114.625µs,432.125µs,7.070457ms,101.834µs,[1]
8.392125ms,114.291µs,428.625µs,7.046832ms,102.169µs,[1]
8.450583ms,117.083µs,428.083µs,7.036416ms,101.208µs,[1]
9.278166ms,114.583µs,1.243125ms,7.098085ms,104.875µs,[1]
8.436041ms,114.084µs,441.5µs,7.094331ms,103.249µs,[1]
8.511167ms,114.667µs,433.834µs,7.143126ms,103.582µs,[1]
8.5815ms,113.958µs,427.417µs,7.212416ms,118.833µs,[1]
8.376708ms,115.625µs,433.167µs,7.010169ms,100.875µs,[0]
8.541583ms,115.209µs,464.584µs,7.130625ms,102.458µs,[1]
8.515375ms,114µs,442.542µs,7.137751ms,102.998µs,[1]
8.476291ms,114.667µs,427.458µs,7.106334ms,102.207µs,[0]
8.574167ms,114.084µs,438.667µs,7.188208ms,101.708µs,[1]
8.37825ms,114.833µs,434.958µs,7.041498ms,102.417µs,[1]
8.563375ms,114.542µs,425.875µs,7.176124ms,113.75µs,[1]
8.564875ms,113.833µs,433.625µs,7.183331ms,102.583µs,[1]
8.417ms,115.833µs,426.583µs,7.061125ms,102.001µs,[1]
8.4585ms,114.75µs,432.583µs,7.095916ms,101.958µs,[1]
8.403167ms,115.5µs,428.542µs,7.042876ms,108.292µs,[1]
8.536667ms,115.083µs,448.458µs,7.139668ms,107.043µs,[1]
8.495ms,114.25µs,431.041µs,7.117416ms,102.958µs,[1]
8.442083ms,120.042µs,426.709µs,7.025709ms,103.083µs,[1]
8.492708ms,114.208µs,456.833µs,7.088042ms,103.458µs,[1]
8.439583ms,114.875µs,440µs,7.098917ms,102.124µs,[1]
9.457209ms,115.125µs,432.5µs,8.093249ms,103.71µs,[1]
8.512625ms,114.458µs,429.375µs,7.130959ms,104.167µs,[1]
8.418583ms,115.708µs,456.25µs,7.033458ms,103.417µs,[1]
8.493375ms,114.417µs,436.084µs,7.105374ms,101.875µs,[1]
8.473292ms,114.041µs,439.583µs,7.109374ms,101.707µs,[1]
8.480917ms,115µs,434.625µs,7.076751ms,116.792µs,[1]
8.527083ms,114.375µs,428.375µs,7.174166ms,101.792µs,[1]
9.254541ms,115.834µs,430.5µs,7.913667ms,102.084µs,[1]
8.487542ms,114.542µs,440.167µs,7.098167ms,106.708µs,[1]
8.48425ms,114.041µs,429.875µs,7.143416ms,103.626µs,[1]
8.461959ms,113.958µs,427.25µs,7.089502ms,101.041µs,[1]
8.446209ms,114.333µs,426.791µs,7.088291ms,102.251µs,[1]
